mcc_code	mcc_label	factual_category_id
5621	Women’s Ready-to-wear Stores	142
5631	Women’s Accessory And Specialty Shops	142
5641	Children’s And Infant’s Wear Stores	132
5651	Family Clothing Stores	142
5655	Sports Apparel, Riding Apparel Stores	170
5661	Shoe Stores	145
5681	Furriers And Fur Shops	142
5691	Men’s And Women’s Clothing Stores	142
5697	Tailors, Seamstress, Mending, And Alterations	304
5698	Wig And Toupee Stores	128
5699	Miscellaneous Apparel And Accessory Shops	142
5712	Furniture, Home Furnishings, And Equipment Stores, Exceptappliances	157
5713	Floor Covering Stores	137
5714	Drapery, Window Covering And Upholstery Stores	265
5718	Fireplace, Fireplace Screens, And Accessories Stores	245
5719	Miscellaneous Home Furnishing Specialty Stores	157
5722	Household Appliance Stores	248
5732	Electronic Sales	133
5733	Music Stores, Musical Instruments, Piano Sheet Music	162
5734	Computer Software Stores	133
5735	Record Shops	162
5811	Caterers	231
5812	Eating Places And Restaurants	347
5813	Drinking Places (alcoholic Beverages), Bars, Taverns, Cocktail Lounges, Nightclubs And Discotheques	312
5814	Fast Food Restaurants	347
5832	Antique Shops – Sales, Repairs, And Restoration Services	125
5912	Drug Stores And Pharmacies	80
5921	Package Stores – Beer, Wine, And Liquor	150
5931	Used Merchandise And Secondhand Stores	142
5932	Antique Shops	125
5933	Pawn Shops And Salvage Yards	166
5935	Wrecking And Salvage Yards	18
5937	Antique Reproductions	125
5940	Bicycle Shops – Sales And Service	129
5941	Sporting Goods Stores	170
5942	Book Stores	130
5943	Stationery Stores, Office And School Supply Stores	131
5944	Watch, Clock, Jewelry, And Silverware Stores	144
5945	Hobby, Toy, And Game Shops	160
5946	Camera And Photographic Supply Stores	134
5947	Card Shops, Gift, Novelty, And Souvenir Shops	131
5948	Leather Foods Stores	149
5949	Sewing, Needle, Fabric, And Price Goods Stores	126
5950	Glassware/crystal Stores	160
5960	Direct Marketing- Insurance Service	193
5961	Mail Order Houses Including Catalog Order Stores, Book/record Clubs (no Longer Permitted For U.s. Original Presentments)	123
5962	Direct Marketing – Travel Related Arrangements Services	430
5963	Door-to-door Sales	177
5964	Direct Marketing – Catalog Merchant	193
5965	Direct Marketing – Catalog And Catalog And Retail Merchant	193
5966	Direct Marketing- Outbound Telemarketing Merchant	193
5967	Direct Marketing – Inbound Teleservices Merchant	193
5968	Direct Marketing – Continuity/subscription Merchant	193
5969	Direct Marketing – Not Elsewhere Classified	193
5970	Artist’s Supply And Craft Shops	126
5971	Art Dealers And Galleries	310
5972	Stamp And Coin Stores – Philatelic And Numismatic Supplies	160
5973	Religious Goods Stores	142
5975	Hearing Aids – Sales, Service, And Supply Stores	75
5976	Orthopedic Goods Prosthetic Devices	62
5977	Cosmetic Stores	128
5978	Typewriter Stores – Sales, Rental, Service	216
5983	Fuel – Fuel Oil, Wood, Coal, Liquefied Petroleum	183
5992	Florists	148
5993	Cigar Stores And Stands	172
5994	News Dealers And Newsstands	163
5995	Pet Shops, Pet Foods, And Supplies Stores	471
5996	Swimming Pools – Sales, Service, And Supplies	263
5997	Electric Razor Stores – Sales And Service	133
5998	Tent And Awning Shops	123
5999	Miscellaneous And Specialty Retail Stores	142
6010	Financial Institutions – Manual Cash Disbursements	219
6011	Financial Institutions – Manual Cash Disbursements	219
6012	Financial Institutions – Merchandise And Services	219
6051	Non-financial Institutions – Foreign Currency, Money Orders (not Wire Transfer) And Travelers Cheques	219
6211	Security Brokers/dealers	228
6300	Insurance Sales, Underwriting, And Premiums	272
6381	Insurance Premiums, (no Longer Valid For First Presentment Work)	272
6399	Insurance, Not Elsewhere Classified ( No Longer Valid Forfirst Presentment Work)	272
6513	Real Estate Agents And Managers - Rentals	291
7011	Lodging – Hotels, Motels, Resorts, Central Reservation Services (not Elsewhere Classified)	432
7012	Timeshares	437
7032	Sporting And Recreational Camps	388
7033	Trailer Parks And Camp Grounds	388
7210	Laundry, Cleaning, And Garment Services	278
7211	Laundry – Family And Commercial	278
7216	Dry Cleaners	278
7217	Carpet And Upholstery Cleaning	289
7221	Photographic Studios	449
7230	Barber And Beauty Shops	280
7251	Shop Repair Shops And Shoe Shine Parlors, And Hat Cleaning Shops	145
7261	Funeral Service And Crematories	233
7273	Dating And Escort Services	277
7276	Tax Preparation Service	220
7277	Counseling Service – Debt, Marriage, Personal	77
7278	Buying/shopping Services, Clubs	142
