integrated_category_id	integrated_category_label	naics_code	sic_code
13060	Dining and Drinking > Mac and Cheese Joint	7225	
13061	Dining and Drinking > Meadery	312130	2084
13062	Dining and Drinking > Night Market	722410	5813
13063	Dining and Drinking > Pet Café	722515	5461
13064	Dining and Drinking > Pizzeria	7225	
13065	Dining and Drinking > Restaurant	72	
13066	Dining and Drinking > Restaurant > Afghan Restaurant	7225	
13067	Dining and Drinking > Restaurant > African Restaurant	7225	
13068	Dining and Drinking > Restaurant > American Restaurant	7225	
13069	Dining and Drinking > Restaurant > Arepa Restaurant	7225	
13070	Dining and Drinking > Restaurant > Argentinian Restaurant	7225	
13071	Dining and Drinking > Restaurant > Armenian Restaurant	7225	
13072	Dining and Drinking > Restaurant > Asian Restaurant	7225	
13073	Dining and Drinking > Restaurant > Australian Restaurant	7225	
13074	Dining and Drinking > Restaurant > Austrian Restaurant	7225	
13075	Dining and Drinking > Restaurant > Bangladeshi Restaurant	7225	
13076	Dining and Drinking > Restaurant > Belarusian Restaurant	7225	
13077	Dining and Drinking > Restaurant > Belgian Restaurant	7225	
13078	Dining and Drinking > Restaurant > Bosnian Restaurant	7225	
13079	Dining and Drinking > Restaurant > Brazilian Restaurant	7225	
13080	Dining and Drinking > Restaurant > Brazilian Restaurant > Acai House	7225	
13081	Dining and Drinking > Restaurant > Brazilian Restaurant > Baiano Restaurant	7225	
13082	Dining and Drinking > Restaurant > Brazilian Restaurant > Central Brazilian Restaurant	7225	
13083	Dining and Drinking > Restaurant > Brazilian Restaurant > Churrascaria	7225	
13084	Dining and Drinking > Restaurant > Brazilian Restaurant > Empada House	7225	
13085	Dining and Drinking > Restaurant > Brazilian Restaurant > Goiano Restaurant	7225	
13086	Dining and Drinking > Restaurant > Brazilian Restaurant > Mineiro Restaurant	7225	
13087	Dining and Drinking > Restaurant > Brazilian Restaurant > Northeastern Brazilian Restaurant	7225	
13088	Dining and Drinking > Restaurant > Brazilian Restaurant > Northern Brazilian Restaurant	7225	
13089	Dining and Drinking > Restaurant > Brazilian Restaurant > Pastelaria	7225	
13090	Dining and Drinking > Restaurant > Brazilian Restaurant > Southeastern Brazilian Restaurant	7225	
13091	Dining and Drinking > Restaurant > Brazilian Restaurant > Southern Brazilian Restaurant	7225	
13092	Dining and Drinking > Restaurant > Brazilian Restaurant > Tapiocaria	7225	
13093	Dining and Drinking > Restaurant > Bulgarian Restaurant	7225	
13094	Dining and Drinking > Restaurant > Burmese Restaurant	7225	
13095	Dining and Drinking > Restaurant > Cajun / Creole Restaurant	7225	
13096	Dining and Drinking > Restaurant > Cambodian Restaurant	7225	
13097	Dining and Drinking > Restaurant > Caribbean Restaurant	7225	
13098	Dining and Drinking > Restaurant > Caucasian Restaurant	7225	
13099	Dining and Drinking > Restaurant > Chinese Restaurant	7225	
13100	Dining and Drinking > Restaurant > Chinese Restaurant > Anhui Restaurant	7225	
13101	Dining and Drinking > Restaurant > Chinese Restaurant > Beijing Restaurant	7225	
13102	Dining and Drinking > Restaurant > Chinese Restaurant > Cantonese Restaurant	7225	
13103	Dining and Drinking > Restaurant > Chinese Restaurant > Cha Chaan Teng	7225	
13104	Dining and Drinking > Restaurant > Chinese Restaurant > Chinese Aristocrat Restaurant	7225	
13105	Dining and Drinking > Restaurant > Chinese Restaurant > Chinese Breakfast Restaurant	722513	5812
13106	Dining and Drinking > Restaurant > Chinese Restaurant > Dim Sum Restaurant	7225	
13107	Dining and Drinking > Restaurant > Chinese Restaurant > Dongbei Restaurant	7225	
